,date,nav
2314,17-01-2017,38.55110
2315,16-01-2017,38.37450
2316,13-01-2017,38.18450
2317,12-01-2017,38.13370
2318,11-01-2017,38.25580
2319,10-01-2017,38.01790
2320,09-01-2017,37.84710
2321,06-01-2017,37.65880
2322,05-01-2017,37.60910
2323,04-01-2017,37.35590
2324,03-01-2017,37.28040
2325,02-01-2017,36.94500
2326,30-12-2016,36.66310
2327,29-12-2016,36.32820
2328,28-12-2016,36.09550
2329,27-12-2016,35.89870
2330,26-12-2016,35.60340
2331,23-12-2016,36.22550
2332,22-12-2016,36.15260
2333,21-12-2016,36.53840
2334,20-12-2016,36.54500
2335,19-12-2016,36.94500
2336,16-12-2016,37.12710
2337,15-12-2016,37.15060
2338,14-12-2016,37.29210
2339,13-12-2016,37.64780
2340,12-12-2016,37.47650
2341,09-12-2016,37.71440
2342,08-12-2016,37.68930
2343,07-12-2016,37.38370
2344,06-12-2016,37.47780
2345,05-12-2016,37.59930
2346,02-12-2016,37.62410
2347,01-12-2016,38.17150
2348,30-11-2016,38.21320
2349,29-11-2016,37.94660
2350,28-11-2016,37.78400
2351,25-11-2016,37.30750
2352,24-11-2016,36.82740
2353,23-11-2016,36.69640
2354,22-11-2016,36.34540
2355,21-11-2016,36.01610
2356,18-11-2016,37.44440
2357,17-11-2016,37.07900
2358,16-11-2016,37.26730
2359,15-11-2016,37.28160
2360,11-11-2016,39.22860
2361,10-11-2016,40.37200
2362,09-11-2016,39.71840
2363,08-11-2016,40.29730
2364,07-11-2016,40.31430
2365,04-11-2016,39.80440
2366,03-11-2016,40.58510
2367,02-11-2016,41.03400
2368,01-11-2016,41.65750
2369,28-10-2016,41.05640
2370,27-10-2016,40.58800
2371,26-10-2016,40.50440
2372,25-10-2016,40.67860
2373,24-10-2016,40.49930
2374,21-10-2016,40.09490
2375,20-10-2016,40.27850
2376,19-10-2016,40.22990
2377,18-10-2016,40.00620
2378,17-10-2016,39.67230
2379,14-10-2016,39.97260
2380,13-10-2016,39.70370
2381,10-10-2016,40.47110
2382,07-10-2016,40.22230
2383,06-10-2016,39.84510
2384,05-10-2016,39.99870
2385,04-10-2016,39.63240
2386,03-10-2016,39.42620
2387,30-09-2016,38.66340
2388,29-09-2016,37.64570
2389,28-09-2016,38.86450
2390,27-09-2016,38.65360
2391,26-09-2016,38.55120
2392,23-09-2016,38.63350
2393,22-09-2016,38.49940
2394,21-09-2016,37.88950
2395,20-09-2016,37.89950
2396,19-09-2016,37.73170
2397,16-09-2016,37.54740
2398,15-09-2016,37.56550
2399,14-09-2016,37.46950
2400,12-09-2016,37.13230
2401,09-09-2016,37.88890
2402,08-09-2016,38.00720
2403,07-09-2016,37.77650
2404,06-09-2016,37.97130
2405,02-09-2016,37.72610
2406,01-09-2016,37.54700
2407,31-08-2016,37.96730
2408,30-08-2016,37.82320
2409,29-08-2016,37.33380
2410,26-08-2016,37.14500
2411,25-08-2016,37.14650
2412,24-08-2016,37.06850
2413,23-08-2016,36.81340
2414,22-08-2016,36.75810
2415,19-08-2016,36.76100
2416,18-08-2016,36.69790
2417,17-08-2016,36.30470
2418,16-08-2016,35.99080
2419,12-08-2016,36.01470
2420,11-08-2016,35.92880
2421,10-08-2016,35.93900
2422,09-08-2016,36.30940
2423,08-08-2016,36.53980
2424,05-08-2016,36.46690
2425,04-08-2016,36.16890
2426,03-08-2016,35.96560
2427,02-08-2016,36.38760
2428,01-08-2016,36.50240
2429,29-07-2016,36.88360
2430,28-07-2016,36.72190
2431,27-07-2016,36.47120
2432,26-07-2016,36.73470
2433,25-07-2016,36.97690
2434,22-07-2016,36.64330
2435,21-07-2016,36.51930
2436,20-07-2016,36.50050
2437,19-07-2016,36.12720
2438,18-07-2016,36.30780
2439,15-07-2016,36.38210
2440,14-07-2016,36.36870
2441,13-07-2016,35.81120
2442,12-07-2016,35.76950
2443,11-07-2016,35.88590
2444,08-07-2016,35.74700
2445,07-07-2016,35.69730
2446,05-07-2016,35.55320
2447,04-07-2016,35.52480
